method | perturb | seeds | eps | success % (95% CI) | collision % | progress % | unseen-map success %
Pre-9/23 student (BC, video data) | none | 1 | 150 | 0.7 (0.0-2.0) | 83.3 | 34.5 | 0.0
Pre-9/23 student (BC, video data) | lidar | 1 | 150 | 0.7 (0.0-2.0) | 81.3 | 36.2 | 0.0
Pre-9/23 student (BC, video data) | camera | 1 | 150 | 0.0 (0.0-0.0) | 70.0 | 33.3 | 0.0
Pre-9/23 student (BC, video data) | nocam | 1 | 150 | 0.0 (0.0-0.0) | 49.3 | 20.7 | 0.0
BC, clean data | none | 3 | 450 | 10.2 (7.5-13.1) | 60.7 | 67.0 | 8.9
BC + augmentation | none | 3 | 450 | 4.4 (2.7-6.4) | 81.1 | 63.2 | 1.1
BC + augmentation | nocam | 3 | 450 | 2.4 (1.1-3.8) | 85.6 | 60.4 | 0.0
DAgger round 1 | none | 3 | 450 | 4.0 (2.2-5.8) | 78.9 | 60.6 | 2.2
DAgger round 2 | none | 3 | 450 | 2.9 (1.3-4.7) | 78.0 | 61.1 | 0.0
DAgger round 3 | none | 3 | 450 | 5.3 (3.3-7.6) | 71.3 | 62.6 | 0.0
DAgger round 3 | lidar | 3 | 450 | 4.7 (2.7-6.7) | 72.0 | 64.0 | 0.0
DAgger round 3 | camera | 3 | 450 | 3.8 (2.2-5.6) | 71.8 | 63.2 | 0.0
DAgger round 3 | nocam | 3 | 450 | 2.7 (1.3-4.2) | 77.8 | 57.2 | 1.1
BC, lidar input only | none | 1 | 150 | 2.0 (0.0-4.7) | 83.3 | 62.7 | 0.0
BC, camera input only | none | 1 | 150 | 3.3 (0.7-6.7) | 76.0 | 70.5 | 0.0
