x,y,heading,curvature,speed
50.0054,62.9421,-2.7838,0.232696,5.285
49.6612,62.7961,-2.6957,0.238408,5.222
49.3301,62.6193,-2.6058,0.240616,5.198
49.0154,62.4126,-2.5152,0.240689,5.197
48.7201,62.1778,-2.4247,0.238975,5.215
48.4467,61.9169,-2.3348,0.236451,5.243
48.1972,61.6321,-2.246,0.232337,5.289
47.9731,61.3255,-2.159,0.225218,5.372
47.7751,60.9991,-2.0751,0.2135,5.518
47.6028,60.6545,-1.9965,0.192632,5.809
47.4544,60.2919,-1.9273,0.15947,6.137
47.3256,59.91,-1.8713,0.118562,6.457
47.2118,59.5091,-1.8308,0.078007,6.772
47.1086,59.0941,-1.8052,0.042901,7.0
47.0118,58.6716,-1.7933,0.012703,7.0
46.9174,58.2489,-1.7939,0.015641,7.0
46.8216,57.8334,-1.8066,0.045418,7.0
46.7211,57.4321,-1.8321,0.079655,7.0
46.6121,57.0501,-1.8711,0.117811,6.86
46.4908,56.6884,-1.9231,0.153145,6.468
46.3519,56.3421,-1.9852,0.177423,6.053
46.1911,56.0072,-2.0535,0.187871,5.882
46.0062,55.6824,-2.1238,0.187009,5.896
45.7961,55.3672,-2.193,0.1778,6.046
45.5611,55.0619,-2.2587,0.163154,6.312
45.3027,54.7669,-2.3191,0.145289,6.615
45.0227,54.482,-2.3731,0.125473,6.911
44.7236,54.2071,-2.4197,0.10428,7.0
44.4085,53.9413,-2.4581,0.08247,7.0
44.0801,53.683,-2.4879,0.060575,7.0
43.7418,53.4306,-2.5088,0.038983,7.0
43.3966,53.1817,-2.5209,0.018018,7.0
43.0476,52.9342,-2.5243,0.002187,7.0
42.6977,52.6857,-2.5191,0.021737,7.0
42.3501,52.4337,-2.5058,0.040744,7.0
42.0076,52.1762,-2.4844,0.059265,7.0
41.673,51.9112,-2.4553,0.077271,7.0
41.3493,51.637,-2.4189,0.094587,7.0
41.039,51.3521,-2.3756,0.110933,7.0
40.7448,51.0555,-2.3261,0.126863,7.0
40.4699,50.7477,-2.2705,0.143251,6.736
40.2178,50.4295,-2.209,0.160555,6.363
39.9914,50.1025,-2.1416,0.179003,6.026
39.7933,49.7684,-2.0684,0.198656,5.72
39.6256,49.4291,-1.9892,0.220172,5.433
39.49,49.0863,-1.9038,0.243105,5.171
39.3877,48.7413,-1.8123,0.264093,4.961
39.3196,48.3946,-1.7161,0.277634,4.839
39.2859,48.0458,-1.6183,0.275921,4.854
39.2862,47.6929,-1.5252,0.245722,5.143
39.3185,47.3303,-1.4455,0.189679,5.486
39.3796,46.9517,-1.3853,0.126937,5.825
39.4637,46.5565,-1.3455,0.073482,6.162
39.5637,46.1482,-1.3238,0.031778,6.494
39.6717,45.7316,-1.3177,0.002506,6.817
39.7799,45.3125,-1.3256,0.03438,7.0
39.8808,44.8961,-1.3472,0.067668,7.0
39.9676,44.4871,-1.3828,0.104276,7.0
40.0346,44.0876,-1.4322,0.139244,6.708
40.0782,43.6938,-1.4929,0.164658,6.283
40.0961,43.2994,-1.5607,0.177071,6.059
40.0862,42.9025,-1.6316,0.17983,6.012
40.0477,42.5042,-1.703,0.176947,6.061
39.9804,42.1069,-1.773,0.170985,6.166
39.8856,41.7138,-1.8405,0.163565,6.304
39.7651,41.328,-1.9048,0.155625,6.463
39.6216,40.953,-1.9656,0.147619,6.636
39.4583,40.5916,-2.0222,0.138736,6.845
39.2788,40.246,-2.074,0.126661,7.0
39.0856,39.9146,-2.1193,0.108189,7.0
38.8805,39.594,-2.156,0.084163,7.0
38.6658,39.2811,-2.1831,0.058,7.0
38.4439,38.9724,-2.2003,0.032496,7.0
38.2171,38.665,-2.2083,0.0094,7.0
37.9871,38.3556,-2.2081,0.010217,7.0
37.7553,38.0412,-2.201,0.025383,7.0
37.5224,37.7186,-2.1889,0.035068,7.0
37.2881,37.3842,-2.1737,0.03919,7.0
37.0524,37.0359,-2.1574,0.038649,7.0
36.8166,36.6746,-2.1416,0.034879,7.0
36.5814,36.3023,-2.1276,0.028682,7.0
36.3477,35.9214,-2.1167,0.020493,7.0
36.1152,35.5348,-2.1097,0.010613,7.0
35.8837,35.1455,-2.1075,0.000825,7.0
35.6523,34.7568,-2.1108,0.013831,7.0
35.42,34.372,-2.1202,0.028471,7.0
35.1856,33.9946,-2.1364,0.044863,7.0
34.9477,33.628,-2.1599,0.063181,7.0
34.7052,33.2758,-2.1911,0.083687,7.0
34.4572,32.9414,-2.2306,0.106859,6.863
34.2029,32.6283,-2.2788,0.133723,6.454
33.9421,32.3397,-2.3367,0.165265,6.036
33.6745,32.0789,-2.4051,0.20216,5.605
33.4003,31.8485,-2.4847,0.244245,5.159
33.1198,31.6511,-2.5762,0.288912,4.743
32.8328,31.4884,-2.6784,0.328795,4.446
32.539,31.3611,-2.7891,0.360662,4.245
32.2397,31.2702,-2.9063,0.38812,4.092
31.9381,31.217,-3.0294,0.414158,3.962
31.6377,31.2024,3.1253,0.438654,3.849
31.3424,31.2268,2.9915,0.460862,3.756
31.0555,31.2904,2.8529,0.478249,3.687
30.7804,31.3937,2.7106,0.483328,3.667
30.5197,31.5369,2.5678,0.468271,3.726
30.275,31.7204,2.4295,0.428314,3.896
30.0468,31.945,2.302,0.362011,4.237
29.8334,32.2126,2.1923,0.277971,4.624
29.6315,32.525,2.1048,0.197861,5.01
29.4392,32.8793,2.0384,0.137386,5.397
29.2561,33.2684,1.9891,0.096179,5.782
29.0816,33.6839,1.9525,0.068339,6.159
28.9153,34.1174,1.9255,0.049562,6.525
28.7571,34.5601,1.9052,0.037255,6.876
28.6071,35.0042,1.8896,0.029957,7.0
28.4658,35.4427,1.8764,0.027458,7.0
28.3332,35.8727,1.8637,0.028635,7.0
28.2083,36.2965,1.8501,0.033015,7.0
28.0915,36.7155,1.8339,0.041735,7.0
27.9842,37.1287,1.8133,0.055176,7.0
27.8888,37.5345,1.7866,0.073645,7.0
27.8083,37.9308,1.7523,0.097388,6.619
27.7455,38.3152,1.7091,0.12614,6.212
27.7032,38.686,1.6564,0.157389,5.796
27.6831,39.0422,1.5948,0.188859,5.368
27.6864,39.3836,1.5242,0.228076,4.927
27.7141,39.7063,1.442,0.285252,4.476
27.7669,40.0051,1.3431,0.374339,4.012
27.8458,40.2749,1.2198,0.512646,3.531
27.9523,40.5112,1.0614,0.714939,3.015
28.0889,40.7099,0.8577,0.954001,2.61
28.2598,40.8668,0.6113,1.099679,2.431
