x,y,heading,curvature,speed
49.8147,62.23,-2.6386,0.143068,6.74
49.1999,61.8476,-2.5246,0.1736,6.119
48.658,61.4095,-2.3927,0.204012,5.645
48.1968,60.9152,-2.2487,0.214525,5.504
47.8103,60.3567,-2.108,0.185174,5.925
47.4749,59.7034,-1.9942,0.11785,6.515
47.1544,58.9013,-1.9284,0.047002,7.0
46.8368,57.9956,-1.915,0.015054,7.0
46.5189,57.1285,-1.9572,0.089097,7.0
46.1933,56.414,-2.0558,0.160854,6.357
45.8213,55.8047,-2.1806,0.157934,6.415
45.3397,55.1921,-2.2765,0.092044,6.996
44.7606,54.5598,-2.3314,0.043065,7.0
44.1376,53.9289,-2.3568,0.015564,7.0
43.5092,53.3099,-2.3625,0.002712,7.0
42.8905,52.6974,-2.353,0.019286,7.0
42.292,52.0849,-2.33,0.03479,7.0
41.7225,51.4665,-2.2946,0.049632,7.0
41.1893,50.8373,-2.2464,0.068526,7.0
40.707,50.1993,-2.1807,0.098751,7.0
40.2985,49.5625,-2.0898,0.14589,6.392
39.9829,48.9316,-1.966,0.206031,5.617
39.7723,48.3011,-1.8127,0.24056,5.198
39.6644,47.6405,-1.6599,0.190067,5.806
39.645,46.876,-1.5515,0.100729,6.431
39.6962,45.9902,-1.4961,0.035941,7.0
39.7816,45.0509,-1.483,0.006328,7.0
39.8587,44.1442,-1.5075,0.05328,7.0
39.8903,43.3374,-1.572,0.111835,7.0
39.8569,42.6184,-1.6725,0.153226,6.513
39.7442,41.9058,-1.7818,0.140136,6.811
39.5442,41.1589,-1.8758,0.103931,7.0
39.262,40.374,-1.9485,0.073912,7.0
38.9116,39.5647,-2.004,0.054398,7.0
38.5121,38.7526,-2.0475,0.04343,7.0
38.0834,37.961,-2.0845,0.039663,7.0
37.641,37.2087,-2.1203,0.042459,7.0
37.1862,36.496,-2.1581,0.045895,7.0
36.7074,35.8062,-2.1974,0.047019,7.0
36.1989,35.1321,-2.2377,0.048438,7.0
35.6593,34.4748,-2.2794,0.049708,7.0
35.0903,33.8386,-2.3213,0.048762,7.0
34.4957,33.227,-2.3628,0.048626,7.0
33.8763,32.6407,-2.4053,0.050565,6.455
33.2277,32.0778,-2.4535,0.063571,5.471
32.5655,31.563,-2.5236,0.117467,4.443
31.9523,31.1711,-2.6652,0.338673,3.481
31.4413,30.9829,-3.028,1.084261,2.448
31.0117,31.0638,2.6525,0.964797,2.596
30.5393,31.4629,2.3159,0.291265,3.595
30.0214,32.1373,2.1718,0.110243,4.629
29.5068,32.9688,2.0924,0.066262,5.586
29.0448,33.8367,2.0318,0.063216,6.406
28.674,34.6455,1.9649,0.087762,7.0
28.3903,35.4106,1.8855,0.100749,7.0
28.1736,36.1829,1.81,0.081672,7.0
28.0013,37.0053,1.7518,0.056509,7.0
27.8603,37.8948,1.7024,0.056758,6.453
27.7645,38.7944,1.6432,0.079924,5.465
27.734,39.635,1.5536,0.148817,4.452
27.7912,40.3502,1.3864,0.375984,3.47
27.9658,40.8775,1.0148,1.084031,2.449
28.2936,41.1587,0.3815,1.169651,2.357
28.8393,41.2279,-0.0121,0.317805,3.325
29.7022,41.1417,-0.1309,0.060132,4.442
30.7293,40.9791,-0.1485,0.017408,5.411
31.6866,40.8447,-0.0902,0.140546,4.411
32.388,40.8292,0.1181,0.535205,3.485
32.8862,40.9871,0.5424,0.807046,2.838
33.3072,41.3831,0.9099,0.430998,3.719
33.6732,41.9993,1.1181,0.197897,4.583
33.9864,42.7798,1.2375,0.105525,5.423
34.2478,43.6592,1.3128,0.066142,6.212
34.4587,44.5696,1.3651,0.048465,6.923
34.6232,45.4581,1.406,0.041942,7.0
34.7498,46.32,1.44,0.035666,7.0
34.847,47.16,1.4673,0.028334,7.0
34.9226,47.9827,1.4878,0.021014,7.0
34.9829,48.7929,1.5023,0.014509,7.0
35.0333,49.5964,1.512,0.009455,7.0
35.0776,50.4013,1.5185,0.006497,7.0
35.1182,51.2191,1.5235,0.005638,7.0
35.1564,52.0651,1.5289,0.007211,7.0
35.1903,52.9408,1.537,0.01116,7.0
35.2163,53.8378,1.5495,0.016738,7.0
35.2288,54.7452,1.5678,0.02381,7.0
35.2217,55.6511,1.5931,0.032606,7.0
35.1886,56.5436,1.6268,0.043516,7.0
35.1231,57.4104,1.6701,0.057094,7.0
35.0195,58.2401,1.7244,0.074058,7.0
34.8733,59.0229,1.7913,0.095055,7.0
34.6807,59.7521,1.8725,0.121515,6.943
34.4373,60.4239,1.972,0.159528,6.229
34.1404,61.0259,2.0969,0.216466,5.48
33.7871,61.5435,2.2564,0.292493,4.714
33.3711,61.9662,2.4535,0.356518,4.27
32.8785,62.2905,2.666,0.32881,4.446
32.2772,62.5296,2.8455,0.218723,5.122
